nombre,lat,lon,civ,tipo,epoca,siglo_inicio,siglo_fin,descripcion,url_info,url_imagen
# Yacimientos añadidos a mano (parte "híbrida"). Amplía esta lista libremente.
# civ: iberos | celtibero | fenicio-punico | griego | tartesico | vascones | celtas
# siglo_inicio/siglo_fin: número con signo (negativo = a.C.). Ej: -5 = siglo V a.C.
# url_imagen: SOLO imágenes de licencia libre (Wikimedia Commons). Vacío si no hay.
# Los duplicados con Wikidata se fusionan por cercanía de coordenadas + nombre.
La Alcúdia d'Elx,38.2416,-0.6959,iberos,poblado,ss. V a.C. - VII d.C.,-5,7,"Ciudad iberorromana donde se halló la Dama de Elche.",https://es.wikipedia.org/wiki/La_Alcudia,
Contrebia Leukade,42.0464,-1.9686,celtibero,poblado,Edad del Hierro,,,"Ciudad celtíbera excavada en roca, en Aguilar del Río Alhama.",https://es.wikipedia.org/wiki/Contrebia_Leukade,
Gebut,41.4835,0.4665,iberos,poblado,Edad del Hierro,,,"Poblado ibérico de los ilergetes en Soses (Segrià), excavado desde 1940; conserva una calzada central.",https://ca.wikipedia.org/wiki/Llista_de_poblacions_ib%C3%A8riques_de_Catalunya,
Turó de Montgat,41.46592,2.27867,iberos,poblado,Edad del Hierro,,,"Poblado ibérico layetano sobre un cerro junto a la costa, en Montgat (Maresme).",https://ca.wikipedia.org/wiki/Llista_de_poblacions_ib%C3%A8riques_de_Catalunya,
Cástulo,38.0347,-3.6266,iberos,ciudad,ss. VII a.C. - IV d.C.,-7,4,"Gran ciudad íbero-romana de la Oretania, junto a Linares (Jaén).",https://es.wikipedia.org/wiki/Cástulo,
Cancho Roano,38.6897,-5.6636,tartesico,santuario,ss. VI-V a.C.,-6,-5,"Edificio-santuario tartésico de época post-orientalizante, en Zalamea de la Serena (Badajoz).",https://es.wikipedia.org/wiki/Cancho_Roano,
Iruña-Veleia,42.8556,-2.8267,vascones,ciudad,Edad del Hierro - época romana,,,"Oppidum de la Edad del Hierro y ciudad romana (Veleia) en Iruña de Oca (Álava).",https://es.wikipedia.org/wiki/Iruña-Veleia,
Gadir (Gades),36.5305,-6.2985,fenicio-punico,ciudad,ss. IX a.C. - época romana,-9,1,"Colonia fenicia (luego Gades romana), una de las ciudades más antiguas de Occidente, en Cádiz.",https://es.wikipedia.org/wiki/Gadir,
